GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Notification Manager,cern.cms.daq.nm.persistence,EventStatus,24,45,0,0,2,5,3,2,3,2
Notification Manager,cern.cms.daq.nm.persistence,ShiftOccurrence,57,0,0,0,15,0,10,0,10,0
Notification Manager,cern.cms.daq.nm.persistence,DummyUser,85,10,0,0,23,4,15,3,15,3
Notification Manager,cern.cms.daq.nm.persistence,Event,31,150,0,0,13,40,9,25,9,25
Notification Manager,cern.cms.daq.nm.persistence,NotificationOccurrence,145,160,32,22,35,36,38,7,11,7
Notification Manager,cern.cms.daq.nm.persistence,EventPersistor,37,11,2,0,11,4,3,2,2,2
Notification Manager,cern.cms.daq.nm.persistence,EventSenderType,5,45,0,0,0,3,1,3,1,3
Notification Manager,cern.cms.daq.nm.persistence,Configuration,7,31,0,0,3,13,2,9,2,9
Notification Manager,cern.cms.daq.nm.persistence,LogicModuleView,3,411,0,0,1,40,1,6,1,6
Notification Manager,cern.cms.daq.nm.persistence,EventType,33,82,4,0,5,11,5,4,3,4
Notification Manager,cern.cms.daq.nm.persistence,NotificationStatus,24,45,0,0,2,5,3,2,3,2
Notification Manager,cern.cms.daq.nm.persistence,Channel,27,45,0,0,3,5,4,2,4,2
Notification Manager,cern.cms.daq.nm.sound,SoundDispatcher,21,37,1,3,2,13,2,5,1,4
Notification Manager,cern.cms.daq.nm.sound,DominantSelector,0,102,0,16,0,21,0,11,0,3
Notification Manager,cern.cms.daq.nm.sound,Alarm,0,57,0,0,0,14,0,10,0,10
Notification Manager,cern.cms.daq.nm.sound,Priority,24,89,0,0,2,11,3,2,3,2
Notification Manager,cern.cms.daq.nm.sound,SoundSystemConnector,167,13,4,0,32,5,8,2,6,2
Notification Manager,cern.cms.daq.nm.sound,SoundConfigurationReader,212,236,22,22,40,46,16,19,5,8
Notification Manager,cern.cms.daq.nm.sound,ExternalSoundReceiver,213,0,6,0,52,0,9,0,6,0
Notification Manager,cern.cms.daq.nm.sound,ActionMarshaller,6,82,0,0,3,18,0,4,0,4
Notification Manager,cern.cms.daq.nm.sound,SoundTrigger,166,146,17,20,35,28,15,14,2,5
Notification Manager,cern.cms.daq.nm.sound,CommandSequence,0,10,0,0,0,4,0,3,0,3
Notification Manager,cern.cms.daq.nm.sound,Sound,43,238,6,0,8,24,7,4,4,4
Notification Manager,cern.cms.daq.nm.sound,SoundSelector,242,40,28,2,50,8,22,3,5,2
Notification Manager,cern.cms.daq.nm.websocket,EventWebSocketServer,44,0,0,0,12,0,6,0,6,0
Notification Manager,cern.cms.daq.nm.websocket,EventSessionHandler,223,25,18,0,42,7,17,2,8,2
Notification Manager,cern.cms.daq.nm,Constants,38,0,0,0,6,0,2,0,2,0
Notification Manager,cern.cms.daq.nm,EventResource,191,88,14,6,44,27,31,4,21,4
Notification Manager,cern.cms.daq.nm,EmailService,161,0,2,0,32,0,5,0,4,0
Notification Manager,cern.cms.daq.nm,Authentication,265,0,14,0,71,0,14,0,7,0
Notification Manager,cern.cms.daq.nm,NotificationException,0,9,0,0,0,4,0,2,0,2
Notification Manager,cern.cms.daq.nm,Application,90,0,6,0,22,0,8,0,5,0
Notification Manager,cern.cms.daq.nm,Condition,27,231,0,0,3,26,4,2,4,2
Notification Manager,cern.cms.daq.nm,Setting,179,0,0,0,19,0,5,0,5,0
Notification Manager,cern.cms.daq.nm,SystemStatus,11,0,2,0,5,0,3,0,2,0
Notification Manager,cern.cms.daq.nm.servlet,EventArchiveServlet,321,0,30,0,71,0,19,0,4,0
Notification Manager,cern.cms.daq.nm.servlet,SettingsServlet,219,0,12,0,43,0,10,0,4,0
Notification Manager,cern.cms.daq.nm.servlet,LogoutServlet,35,0,2,0,10,0,5,0,4,0
Notification Manager,cern.cms.daq.nm.servlet,ServletListener.new Thread() {...},17,0,0,0,6,0,2,0,2,0
Notification Manager,cern.cms.daq.nm.servlet,ReportServlet,62,0,4,0,16,0,5,0,3,0
Notification Manager,cern.cms.daq.nm.servlet,ConfigurationServlet,749,0,56,0,142,0,33,0,5,0
Notification Manager,cern.cms.daq.nm.servlet,UserContextServlet,115,0,10,0,30,0,8,0,3,0
Notification Manager,cern.cms.daq.nm.servlet,EventAPIController,22,0,2,0,5,0,4,0,3,0
Notification Manager,cern.cms.daq.nm.servlet,ServletListener,138,0,4,0,37,0,6,0,4,0
Notification Manager,cern.cms.daq.nm.task,ReceiverTask,0,128,1,9,0,31,1,7,0,3
Notification Manager,cern.cms.daq.nm.task,NotificationService,150,0,4,0,33,0,7,0,5,0
Notification Manager,cern.cms.daq.nm.task,DispatcherTask,88,212,4,12,22,44,10,8,7,3
Notification Manager,cern.cms.daq.nm.task,NotificationTask,275,0,16,0,60,0,15,0,7,0
Notification Manager,cern.cms.daq.nm.task,UserShift,170,10,6,0,39,4,9,2,6,2
Notification Manager,cern.cms.daq.nm.task,EventFilter,59,97,15,19,13,25,11,14,2,6
Notification Manager,cern.cms.daq.nm.task,MonitoringTask,49,0,0,0,9,0,3,0,3,0
Notification Manager,cern.cms.daq.nm.task,GeneratorTask,98,0,4,0,25,0,5,0,3,0
Notification Manager,cern.cms.daq.nm.task,TaskManager,217,0,4,0,47,0,10,0,8,0
Notification Manager,cern.cms.daq.nm.task,SoundSenderTask,135,207,13,17,25,47,11,9,1,4
